State;Population (en milliers);Total murders (2009);tauxmeurtres;PDMabolie09
Vermont ;622;7;0,113;oui
Iowa ;3008;34;0,113;oui
Minnesota ;5266;72;0,137;oui
North Dakota ;647;9;0,139;oui
Hawaii ;1295;21;0,162;oui
Maine ;1318;26;0,197;oui
Wisconsin ;5655;144;0,255;oui
Rhode Island ;1053;31;0,294;oui
Alaska ;698;22;0,315;oui
New Jersey ;8708;319;0,366;oui
West Virginia ;1820;76;0,418;oui
Michigan ;9970;625;0,627;oui
New Mexico ;2010;144;0,717;oui
New Hampshire ;1325;10;0,075;non
Utah ;2785;37;0,133;non
South Dakota ;812;11;0,135;non
Idaho ;1546;22;0,142;non
Wyoming ;544;11;0,202;non
Oregon ;3826;83;0,217;non
Nebraska ;1797;40;0,223;non
Washington ;6664;169;0,254;non
Massachusetts ;6594;169;0,256;non
Montana ;975;28;0,287;non
Connecticut ;3518;107;0,304;non
Colorado ;5025;167;0,332;non
Illinois ;12910;479;0,371;non
Kentucky ;4314;170;0,394;non
New York ;19541;779;0,399;non
Kansas ;2819;118;0,419;non
Ohio ;11543;502;0,435;non
Virginia ;7883;347;0,44;non
Indiana ;6423;293;0,456;non
Delaware ;885;41;0,463;non
Arizona ;6596;328;0,497;non
Mississippi ;2952;151;0,512;non
North Carolina ;9381;480;0,512;non
Pennsylvania ;12605;658;0,522;non
California ;36962;1972;0,534;non
Texas ;24782;1325;0,535;non
Georgia ;9829;543;0,552;non
Nevada ;2643;156;0,59;non
Arkansas ;2889;171;0,592;non
Oklahoma ;3687;225;0,61;non
South Carolina ;4561;286;0,627;non
Missouri ;5988;381;0,636;non
Alabama ;4709;318;0,675;non
Tennessee ;6296;461;0,732;non
Maryland ;5699;438;0,768;non
Louisiana ;4492;486;1,082;non
District of Columbia ;600;144;2,401;non
